,bin,time(ms), 1,0,1,
09_,1,0,0,0,0,
09_,2,2,0.010283,0.010283,0.010283,
09_,3,4,2.7756e-17,0.020567,0.010283,
09_,4,6,0.0051416,0.020567,0.015425,
09_,5,8,0.0051416,0.010283,0.015425,
09_,6,10,-5.5511e-17,0.015425,0.020567,
09_,7,12,-5.5511e-17,0.015425,0.020567,
09_,8,14,-5.5511e-17,0.020567,0.03085,
09_,9,16,-0.0051416,0.051416,0.041133,
09_,10,18,-0.0051416,0.051416,0.03085,
09_,11,20,-0.010283,0.051416,0.03085,
09_,12,22,-0.010283,0.051416,0.010283,
09_,13,24,-0.013711,0.0617,0.015425,
09_,14,26,-0.013711,0.0617,0.010283,
09_,15,28,-0.017139,0.071983,0.010283,
09_,16,30,-0.020567,0.082266,0.0051416,
09_,17,32,-0.027422,0.092549,0.0051416,
09_,18,34,-0.03085,0.10283,0.0051416,
09_,19,36,-0.03085,0.11312,0.0051416,
09_,20,38,-0.034278,0.13368,0.0051416,
09_,21,40,-0.034278,0.0617,0.0051416,
09_,22,42,-0.034278,0.066841,0.0051416,
09_,23,44,-0.03085,0.066841,0.010283,
09_,24,46,-0.051416,0.068005,0.010283,
09_,25,48,-0.046275,0.069169,0.010283,
09_,26,50,-0.041133,0.070334,0.010283,
09_,27,52,-0.023994,0.071498,0.015425,
09_,28,54,-0.024651,0.15561,0.015425,
09_,29,56,-0.028735,0.15794,0.020567,
09_,30,58,-0.029391,0.16026,0.025708,
09_,31,60,-0.030048,0.086437,0.025708,
09_,32,62,-0.030704,0.092743,0.03085,
09_,33,64,-0.041899,0.093907,0.035991,
09_,34,66,-0.042883,0.095147,0.082266,
09_,35,68,-0.043868,0.096387,0.082266,
09_,36,70,-0.044853,0.097627,0.082266,
09_,37,72,-0.045837,0.098866,0.04558,
09_,38,74,-0.046822,0.10011,0.044885,
09_,39,76,-0.047806,0.10135,0.04419,
09_,40,78,-0.048791,0.10259,0.043495,
09_,41,80,-0.049775,0.10383,0.042801,
09_,42,82,-0.05076,0.10507,0.042106,
09_,43,84,-0.051744,0.1063,0.036269,
09_,44,86,-0.057871,0.10754,0.035574,
09_,45,88,-0.058855,0.10878,0.03488,
09_,46,90,-0.05984,0.11002,0.034185,
09_,47,92,-0.060824,0.11126,0.03349,
09_,48,94,-0.066951,0.1125,0.037937,
09_,49,96,-0.067935,0.11374,0.037242,
