participant_id,trial_id,ACTION,event_P1_prechoose,event_P1_choose,event_P2_prechoose,event_bet_result_revealed,event_Trial_Offset,event_Trial_Onset,trial_mean,trial_max,trial_max_latency,trial_min,trial_min_latency,first_bin,last_bin,valid_blinks,blinks_mean
09_,1,1,0,0,0,0,22610,0,0,0,2,0,2,0,0,0,NaN
09_,2,1,0,3302,6288,7818,13906,0,0.641703101581877,1.26484008821089,1774,0.010283252749682,4,0.010283252749682,0.915209494721702,4,191.5
09_,3,0,0,3458,0,0,28228,0,0,0,2,0,2,0,0,0,NaN
09_,4,0,0,2570,5686,0,12788,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,5,0,0,3358,6424,7388,13480,0,-0.167704451531964,0.143965538495548,1200,-0.781527208975836,1784,-0.0102832527496821,0.0616995164980922,4,163.5
09_,6,0,0,2838,0,0,14944,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,7,-1,0,2034,5002,6000,12090,0,0.20849979149107,0.915209494721702,1894,-0.658128175979651,446,0,0.606711912231241,6,219
09_,8,-1,0,2788,5872,0,13276,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,9,1,0,3692,0,0,15630,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,10,-1,0,1504,4620,5484,11572,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,11,-1,0,3688,0,0,15948,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,12,1,0,3100,0,0,15440,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,13,0,0,2470,0,0,14544,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,14,1,0,3702,6786,0,14190,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,15,1,0,2954,0,0,15328,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
09_,16,1,0,3702,6668,8500,14590,0,NaN,NaN,2,NaN,2,NaN,NaN,0,NaN
