** CONVERTED FROM /Users/slab/Documents/GitHub/poker/edfData/22_.EDF using edfapi 4.0 MacOS X Jul  7 2014 on Thu Mar  7 16:51:55 2019
** DATE: Thu Mar  7 19:59:56 2019
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BJA
** SERIAL NUMBER: CL1-AAC35
** CAMERA_CONFIG: AAC35140.SCD
** Psychopy GC demo
**

MSG	208314 DISPLAY_COORDS = 0 0 1919 1079
MSG	209196 TRIALID
INPUT	216273	127
MSG	216288 TRIALID
MSG	216288 TRIALID
MSG	216291 RECCFG CR 500 2 1 R
MSG	216291 ELCLCFG RTABLER
MSG	216291 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	216291 THRESHOLDS R 41 181
MSG	216291 ELCL_PROC ELLIPSE  (5)
MSG	216291 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	216292 !MODE RECORD CR 500 2 1 R
START	216293 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	HTARGET	RATE	 500.00	TRACKING	CR	FILTER	2	INPUT
INPUT	216293	127
216293	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
SSACC R  216295
SBLINK R 216295
216295	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216297	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216299	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216301	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216303	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216305	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216307	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216309	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216311	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216313	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216315	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216317	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216319	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216321	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216323	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216325	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216327	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216329	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216331	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216333	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216335	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216337	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216339	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216341	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216343	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216345	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216347	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216349	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216351	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216353	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216355	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216357	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216359	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216361	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216363	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216365	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216367	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216369	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216371	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216373	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216375	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216377	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216379	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216381	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216383	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216385	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216387	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216389	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216391	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216393	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216395	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216397	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216399	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216401	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216403	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216405	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216407	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216409	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216411	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216413	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216415	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216417	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216419	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216421	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216423	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216425	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216427	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216429	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216431	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216433	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216435	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216437	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216439	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216441	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216443	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216445	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216447	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216449	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216451	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216453	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216455	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216457	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216459	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216461	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216463	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216465	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216467	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216469	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216471	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216473	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216475	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216477	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216479	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216481	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216483	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216485	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216487	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216489	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216491	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216493	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216495	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216497	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216499	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216501	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216503	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216505	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216507	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216509	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216511	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216513	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216515	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216517	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216519	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216521	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216523	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216525	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216527	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216529	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216531	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216533	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216535	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216537	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216539	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216541	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216543	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216545	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216547	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216549	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216551	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216553	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216555	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216557	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216559	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216561	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216563	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216565	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216567	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216569	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216571	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216573	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216575	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216577	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216579	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216581	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216583	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216585	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216587	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216589	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216591	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216593	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216595	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216597	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216599	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216601	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216603	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
216605	   .	   .	    0.0	  127.0	... 	   .	   .	   . M............
